Year,Month,Polling,Con,Lab,LD,Lab good,Govt good,Govt bad,Lab bad,Con good,Con bad,SDP,Green,Lab net,LD good,Con Best PM,Lab Best PM,LD Best PM,LD bad,Con net,M,F,M.1,F.1,M.2,F.2,UKIP good,UKIP bad,Grn good,Grn bad,UKIP Best PM,UKIP,TIG/CUK,BXP,LD net,CUK good,CUK bad,BXP good,BXP bad,BXP Best PM,BXP/Reform,Ukip,BXP/Ref good,BXP/Ref bad,Green Best PM,BXP/Ref Best PM
,Apr,MORI,29.0,38.0,10.0,34.0,29.0,65.0,50.0,32.0,60.0,,,,21.0,,,,65.0,,,,,,,,34.0,26.0,,,,,,,,,,,,,,,,,,
,Apr,YouGov,31.0,39.0,12.0,,28.0,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,YouGov,33.0,40.0,10.0,,28.0,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,YouGov,30.0,41.0,10.0,,26.0,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,Opinium,29.0,35.0,8.0,23.0,,,42.0,34.0,51.0,,,,14.0,,,,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,YouGov,33.0,40.0,10.0,,29.0,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,YouGov,32.0,40.0,11.0,29.0,29.0,55.0,58.0,39.0,55.0,,,,21.0,,,,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,YouGov,32.0,39.0,11.0,,26.0,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,YouGov,33.0,40.0,10.0,,28.0,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,YouGov,31.0,39.0,10.0,,25.0,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,YouGov,32.0,40.0,11.0,,28.0,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,YouGov,31.0,40.0,11.0,29.0,26.0,58.0,56.0,36.0,57.0,,,,21.0,,,,69.0,,,,,,,,44.0,20.0,,,,,,,,,,,,,,,,,,
,Apr,Survation,29.0,36.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,ComRes,32.0,38.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,YouGov,30.0,39.0,11.0,,26.0,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,YouGov,30.0,39.0,11.0,,26.0,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,YouGov,33.0,39.0,10.0,,28.0,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,Opinium,28.0,35.0,9.0,23.0,,,43.0,32.0,51.0,,,,14.0,,,,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,YouGov,32.0,43.0,9.0,,27.0,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,YouGov,30.0,40.0,11.0,29.0,25.0,60.0,57.0,35.0,58.0,,,,18.0,,,,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,YouGov,29.0,39.0,9.0,,25.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,YouGov,27.0,38.0,11.0,,24.0,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,YouGov,30.0,39.0,10.0,,27.0,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,YouGov,30.0,39.0,9.0,29.0,25.0,59.0,58.0,35.0,58.0,,,,19.0,,,,74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,ICM,28.0,34.0,11.0,26.0,31.0,51.0,48.0,35.0,50.0,,,,,,,,,,,,,,,,40.0,23.0,,,,,,,,,,,,,,,,,,
,May,ICM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,MORI,31.0,34.0,10.0,35.0,28.0,63.0,49.0,36.0,57.0,,,,26.0,,,,63.0,,,,,,,,40.0,29.0,,,,,,,,,,,,,,,,,,
,May,YouGov,31.0,38.0,10.0,,26.0,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,YouGov,30.0,40.0,10.0,,24.0,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,YouGov,30.0,40.0,10.0,,25.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,TNS BMRB,28.0,37.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,Opinium,27.0,37.0,7.0,24.0,,,43.0,29.0,55.0,,,,14.0,,,,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,YouGov,31.0,39.0,9.0,,24.0,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,ComRes,29.0,35.0,8.0,31.0,,,42.0,26.0,51.0,,,,,32.0,24.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,ICM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,YouGov,29.0,40.0,9.0,27.0,24.0,63.0,62.0,32.0,62.0,,,,16.0,,,,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,Survation,24.0,35.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,YouGov,31.0,39.0,10.0,,25.0,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,YouGov,27.0,38.0,10.0,,23.0,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,YouGov,29.0,39.0,11.0,,23.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,YouGov,29.0,42.0,11.0,,25.0,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,ComRes,26.0,37.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,YouGov,30.0,40.0,10.0,30.0,24.0,62.0,58.0,34.0,61.0,,,,16.0,,,,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,Survation,24.0,35.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,ComRes,30.0,34.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,YouGov,29.0,39.0,10.0,,25.0,59.0,,,,,,,,32.0,21.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,YouGov,30.0,37.0,11.0,,25.0,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,Opinium,26.0,37.0,6.0,22.0,,,44.0,28.0,56.0,,,,12.0,,,,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,YouGov,30.0,38.0,11.0,,26.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,Survation,25.0,36.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,YouGov,30.0,39.0,10.0,27.0,25.0,61.0,61.0,35.0,61.0,,,,17.0,,,,74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,TNS BMRB,24.0,37.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,Lord Ashcroft,27.0,37.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun,YouGov,31.0,38.0,10.0,,25.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun,YouGov,30.0,40.0,10.0,,26.0,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun,YouGov,30.0,39.0,10.0,,24.0,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun,YouGov,32.0,39.0,10.0,,25.0,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun,YouGov,30.0,40.0,9.0,27.0,25.0,61.0,62.0,34.0,61.0,,,,19.0,,,,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun,TNS BMRB,27.0,36.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun,ICM,29.0,36.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun,MORI,31.0,35.0,10.0,31.0,28.0,64.0,52.0,34.0,58.0,,,,27.0,,,,61.0,,,,,,,,38.0,31.0,,,,,,,,,,,,,,,,,,
,Jun,YouGov,28.0,39.0,11.0,,23.0,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun,YouGov,30.0,38.0,9.0,,26.0,59.0,,,,,,,,32.0,21.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun,YouGov,30.0,38.0,11.0,,25.0,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun,YouGov,32.0,39.0,10.0,,26.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun,ComRes,26.0,35.0,10.0,20.0,,,49.0,23.0,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun,Opinium,27.0,36.0,7.0,24.0,,,44.0,30.0,54.0,,,,14.0,,,,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun,YouGov,30.0,39.0,10.0,26.0,25.0,60.0,61.0,34.0,59.0,,,,19.0,,,,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun,YouGov,31.0,40.0,10.0,,24.0,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun,YouGov,31.0,38.0,10.0,,25.0,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun,YouGov,32.0,38.0,10.0,,25.0,58.0,,,,,,,,35.0,20.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun,YouGov,31.0,39.0,11.0,,27.0,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun,YouGov,31.0,39.0,10.0,26.0,26.0,57.0,59.0,37.0,55.0,,,,19.0,,,,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun,ComRes,30.0,36.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun,YouGov,32.0,39.0,9.0,,25.0,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun,YouGov,32.0,40.0,11.0,,25.0,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun,YouGov,31.0,42.0,11.0,,26.0,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun,Opinium,27.0,37.0,7.0,22.0,,,47.0,31.0,53.0,,,,13.0,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun,YouGov,33.0,39.0,10.0,,26.0,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun,ICM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun,YouGov,33.0,38.0,11.0,28.0,27.0,58.0,59.0,38.0,55.0,,,,21.0,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun,YouGov,33.0,38.0,8.0,,26.0,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,YouGov,32.0,40.0,9.0,,26.0,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,YouGov,32.0,40.0,9.0,,26.0,57.0,,,,,,,,35.0,20.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,Survation,23.0,36.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,YouGov,31.0,39.0,11.0,,28.0,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,YouGov,33.0,39.0,11.0,26.0,26.0,58.0,60.0,36.0,56.0,,,,19.0,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,YouGov,34.0,40.0,10.0,,29.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,YouGov,31.0,39.0,10.0,,27.0,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,YouGov,32.0,37.0,11.0,,27.0,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,YouGov,32.0,40.0,10.0,,27.0,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,ComRes,28.0,36.0,8.0,23.0,,,51.0,31.0,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,YouGov,30.0,41.0,10.0,27.0,24.0,62.0,62.0,34.0,60.0,,,,18.0,,,,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,Survation,28.0,36.0,9.0,21.0,,,48.0,36.0,47.0,,,,18.0,,,,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,Populus,31.0,38.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,Opinium,27.0,38.0,6.0,22.0,,,47.0,32.0,52.0,,,,12.0,,,,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,ICM,36.0,36.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,MORI,29.0,40.0,10.0,30.0,30.0,62.0,56.0,38.0,54.0,,,,27.0,,,,61.0,,,,,,,,34.0,35.0,,,,,,,,,,,,,,,,,,
,Jul,YouGov,31.0,40.0,11.0,,25.0,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,YouGov,32.0,38.0,10.0,,28.0,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,YouGov,31.0,37.0,12.0,,27.0,59.0,,,,,,,,33.0,20.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,YouGov,33.0,38.0,11.0,,28.0,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,Populus,31.0,39.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,YouGov,32.0,39.0,10.0,26.0,26.0,59.0,61.0,37.0,55.0,,,,18.0,,,,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,TNS BMRB,28.0,38.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,Populus,32.0,39.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,YouGov,35.0,38.0,11.0,,28.0,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,YouGov,32.0,39.0,11.0,,29.0,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,YouGov,35.0,39.0,8.0,,28.0,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,Opinium,28.0,39.0,8.0,22.0,,,44.0,33.0,50.0,,,,13.0,,,,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,YouGov,32.0,38.0,11.0,,29.0,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,Populus,32.0,39.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,YouGov,33.0,39.0,10.0,25.0,29.0,56.0,62.0,38.0,54.0,,,,20.0,,,,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,ComRes,34.0,37.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,Populus,34.0,39.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,YouGov,33.0,40.0,10.0,,28.0,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,YouGov,34.0,40.0,11.0,,29.0,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,YouGov,33.0,38.0,10.0,,29.0,55.0,,,,,,,,36.0,19.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,Populus,29.0,40.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,YouGov,34.0,40.0,10.0,,28.0,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug,YouGov,32.0,38.0,10.0,23.0,28.0,57.0,64.0,39.0,56.0,,,,19.0,,,,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug,Lord Ashcroft,30.0,35.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug,Survation,28.0,36.0,11.0,27.0,,,49.0,35.0,50.0,,,,24.0,,,,59.0,,,,,,,,29.0,40.0,,,,,,,,,,,,,,,,,,
,Aug,Populus,33.0,38.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug,YouGov,34.0,38.0,11.0,,31.0,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug,YouGov,32.0,39.0,10.0,,28.0,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug,YouGov,31.0,39.0,11.0,,27.0,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug,Opinium,29.0,36.0,9.0,21.0,,,47.0,34.0,49.0,,,,13.0,,,,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug,Populus,32.0,38.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug,YouGov,34.0,38.0,9.0,,30.0,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug,YouGov,33.0,41.0,9.0,25.0,29.0,57.0,61.0,39.0,54.0,,,,18.0,,,,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug,Populus,33.0,39.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug,ICM,32.0,35.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug ,ICM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug,MORI,30.0,40.0,10.0,28.0,32.0,60.0,55.0,38.0,55.0,,,,27.0,,,,62.0,,,,,,,,33.0,38.0,,,,,,,,,,,,,,,,,,
,Aug,YouGov,33.0,40.0,8.0,,28.0,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug,YouGov,35.0,38.0,10.0,,28.0,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug,YouGov,32.0,38.0,11.0,,27.0,56.0,,,,,,,,33.0,19.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug,YouGov,34.0,39.0,9.0,,28.0,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug,Populus,36.0,39.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug,ComRes,28.0,37.0,8.0,22.0,,,50.0,28.0,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug,YouGov,32.0,38.0,10.0,23.0,29.0,57.0,65.0,39.0,54.0,,,,21.0,,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug,Populus,32.0,38.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug,YouGov,31.0,38.0,10.0,,26.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug,YouGov,32.0,39.0,10.0,,29.0,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug,YouGov,34.0,37.0,9.0,,30.0,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug,Opinium,29.0,36.0,8.0,19.0,,,50.0,32.0,50.0,,,,13.0,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug,YouGov,32.0,39.0,11.0,,28.0,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug,ICM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug,Populus,30.0,38.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug,YouGov,32.0,38.0,10.0,20.0,27.0,58.0,68.0,38.0,56.0,,,,19.0,,,,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug,Survation,30.0,36.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug,Populus,33.0,37.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug,YouGov,34.0,39.0,8.0,,28.0,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug,YouGov,34.0,37.0,11.0,,28.0,56.0,,,,,,,,35.0,18.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug,YouGov,33.0,37.0,10.0,,29.0,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug,Populus,33.0,39.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug,TNS BMRB,28.0,39.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug,Survation,29.0,37.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug,YouGov,31.0,41.0,9.0,24.0,27.0,56.0,63.0,36.0,55.0,,,,20.0,,,,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug,ComRes,31.0,37.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug,Populus,34.0,38.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep,YouGov,33.0,40.0,9.0,,28.0,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep,YouGov,33.0,37.0,9.0,,27.0,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep,YouGov,33.0,39.0,10.0,,30.0,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep,Opinium,30.0,35.0,7.0,20.0,,,51.0,34.0,49.0,,,,13.0,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep,Populus,33.0,37.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep,YouGov,31.0,38.0,10.0,,26.0,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep,ICM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep,YouGov,34.0,38.0,9.0,21.0,29.0,57.0,67.0,39.0,54.0,,,,18.0,,,,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep,Populus,34.0,37.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep,MORI,34.0,37.0,10.0,24.0,32.0,60.0,60.0,36.0,56.0,,,,24.0,,,,64.0,,,,,,,,29.0,36.0,,,,,,,,,,,,,,,,,,
,Sep,YouGov,33.0,38.0,8.0,,26.0,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep,YouGov,33.0,39.0,9.0,,28.0,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep,YouGov,32.0,39.0,10.0,,30.0,55.0,,,,,,,,34.0,21.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep,YouGov,34.0,38.0,8.0,,31.0,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep,Populus,34.0,41.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep,YouGov,33.0,38.0,9.0,21.0,31.0,54.0,67.0,40.0,52.0,,,,19.0,,,,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep,TNS BMRB,29.0,39.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep,Populus,33.0,40.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep,ICM,32.0,36.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep,YouGov,34.0,37.0,10.0,,31.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep,YouGov,33.0,37.0,9.0,,29.0,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep,YouGov,36.0,36.0,10.0,,32.0,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep,Opinium,29.0,36.0,7.0,21.0,,,50.0,33.0,50.0,,,,16.0,,,,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep,YouGov,34.0,35.0,11.0,,29.0,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep,Populus,33.0,39.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep,ComRes,28.0,36.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep,YouGov,33.0,37.0,11.0,22.0,29.0,57.0,67.0,40.0,54.0,,,,22.0,,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep,Populus,33.0,39.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep,YouGov,32.0,40.0,10.0,,29.0,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep,YouGov,34.0,39.0,10.0,,32.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep,YouGov,32.0,41.0,8.0,,28.0,55.0,,,,,,,,35.0,26.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
