Year,Month,Polling,Con,Lab,LD,Lab good,Govt good,Govt bad,Lab bad,Con good,Con bad,SDP,Green,Lab net,LD good,Con Best PM,Lab Best PM,LD Best PM,LD bad,Con net,M,F,M.1,F.1,M.2,F.2,UKIP good,UKIP bad,Grn good,Grn bad,UKIP Best PM,UKIP,TIG/CUK,BXP,LD net,CUK good,CUK bad,BXP good,BXP bad,BXP Best PM,BXP/Reform,Ukip,BXP/Ref good,BXP/Ref bad,Green Best PM,BXP/Ref Best PM
,Feb,,44.5,44.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950.0,Mar,Gallup,43.5,45.5,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,Gallup,45.5,47.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,Gallup,43.5,46.5,9.5,50.0,39.0,51.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun,Gallup,43.5,46.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,Gallup,42.0,43.5,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug,Gallup,44.5,46.0,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep,Gallup,43.0,45.5,10.0,49.0,44.0,46.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oct,Gallup,42.5,45.0,10.0,47.0,45.0,45.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oct,,45.5,45.5,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nov,Gallup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nov,,47.0,45.0,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dec,Gallup,43.0,44.0,11.5,49.0,38.0,51.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dec,,47.5,44.5,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951.0,Jan,Gallup,51.0,38.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jan,,48.0,44.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Feb,,50.5,40.5,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Feb,Gallup,51.5,37.5,9.5,44.0,31.0,60.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Feb,,52.0,39.5,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mar,Gallup,51.0,36.5,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mar,,52.0,39.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,Gallup,50.5,38.5,9.0,49.0,32.0,59.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,Gallup,49.0,40.0,9.5,57.0,35.0,56.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun,Gallup,48.0,41.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,Gallup,49.0,39.0,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug,Gallup,50.5,38.0,10.5,43.0,31.0,56.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep,Gallup,52.0,41.0,6.5,44.0,35.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oct,Gallup,50.5,43.5,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oct,Gallup,50.5,44.0,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Gallup,50.0,45.5,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Gallup,50.0,46.5,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Research Serv Ltd,50.0,43.0,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,50.0,46.0,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Gallup,49.5,47.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951.0,Nov,Gallup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dec,Gallup,47.0,45.0,6.5,,44.0,29.0,,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952.0,Jan,Gallup,44.5,48.0,6.0,,,,,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Feb,Gallup,41.0,47.0,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mar,Gallup,41.5,48.0,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,Gallup,43.5,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,Gallup,43.5,49.0,7.0,,40.0,48.0,,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun,Gallup,40.5,49.0,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,Gallup,40.0,50.0,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug,Gallup,40.0,48.0,10.5,,44.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep,Gallup,41.0,48.5,9.0,,,,,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oct,Gallup,41.5,48.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nov,Gallup,43.5,46.5,9.0,,47.0,33.0,,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dec,Gallup,44.0,45.5,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1953.0,Jan,Gallup,42.5,46.0,10.0,,46.0,38.0,,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Feb,Gallup,42.5,46.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mar,Gallup,46.5,44.5,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,Gallup,47.0,45.0,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
